ID,English,German,Spanish,French,Italian,Korean,Polish,Portuguese,Russian,Slovak,Turkish,ChineseSimplified,Ukrainian,Japanese
Map001_EV003_Page4_2_ShowText,ไม่เป็นไรหรอก \\.ฉันก็ทำนายความตายไม่ค่อยเก่งเหมือนกัน,"""Kein Problem. \\.
Ich bin selbst nicht so gut darin, Tode vorherzusagen.""","Sin problema, \\.a mí también se me da 
mal predecir muertes.","Ce n’est pas grave, je comprends. \\.Moi non plus je ne suis
pas très fort pour ce qui est de prédire la mort des gens.","Si figuri. Anche io non sono il massimo 
a stimare la data di morte della gente.","""별 거 아닙니다, \\.누가 언제 죽는 지는 
저희라고 알 수 있을 리가 없으니까요.""","""Nie szkodzi, \\.ja też jestem słaby w 
przewidywaniu zgonów.""","""Tudo bem, \\.também costumo ser
péssimo em prever mortes.""","Не волнуйтесь, \\.наши заказчики
редко успевают умереть вовремя.","""To je v poriadku, \\.tiež mávam problém
predvídať čas úmrtia.""","""Sorun değil, \\.aynı şekilde ölümleri tahmin etmekte
de kötü olma eğilimindeyimdir.""","“哪里哪里！\\.老实说，我也不擅长
  预测死亡日期什么的。”","Усе гаразд, \\.ми завжди напоготові, бо ніхто не знає,
коли прийде його час.","いえいえ、お気になさらず。\\.\\.
人の死期を予測するのは、僕も苦手です。"
Map001_EV003_Page4_2_ShowText_NameBox,ดร. วัตส์,Dr. Watts,Dr. Watts,Dr Watts,Dott. Watts,와츠 박사,Dr Watts,Dr. Watts,Д-р Уоттс,Dr. Watts,Dr. Watts,Dr. Watts,Д-р Воттс,ドクター・ワッツ
Map001_EV003_Page4_3_ShowText,คุณเป็นลูกสาวคนไข้หรือเปล่า,"""Sind Sie die Tochter des Patienten?""",¿Es usted la hija del paciente?,Êtes-vous la fille du patient ?,Lei è la figlia del paziente?,"""환자분의 따님이신가요?""","""Jest pani córką pacjenta?""","""Você é a filha do paciente?""",Вы  —  дочь нашего клиента?,Vy ste pacientova dcéra?,Hastanın kızı siz misiniz?,“请问您是病人的女儿吗？”,Ви — донька пацієнта?,ご契約者様のお嬢様ですか？
Map001_EV003_Page4_3_ShowText_NameBox,ดร. โรสลีน,Dr. Rosalene,Dra. Rosalene,Dr Rosalene,Dott.ssa Rosalene,로잘린 박사,Dr Rosalene,Dra. Rosalene,Д-р Розалин,Dr. Rosalene,Dr. Rosalene,Dr. Rosalene,Д-р Розалін,ドクター・ロザリーン
Map001_EV003_Page4_4_ShowText,โอ้ ไม่ใช่ \\.ฉันเป็นแค่คนดูแลเขา,"""Oh -- nein, \\.ich bin nur die Pflegerin.""","Oh, no. \\.Sólo soy su cuidadora. ","Oh non, \\.je suis juste son aide à domicile.","Oh, no. Sono soltanto la sua badante. ","""아니에요, \\.전 간병인입니다."" ","""Och nie, \\.jestem tylko jego opiekunką.""  ","""Ah, não, \\.sou apenas a governanta da casa.""","О нет, \\.я просто присматриваю за домом.  ","To nie, \\.som len jeho opatrovateľka.  ","Ah hayır, \\.sadece bakıcısıyım.",“哦，不，\\.我只是他的保姆。” ,"О, ні, \\.я лише доглядаю за ним.","いえ。\\.\\.私は、身の回りの
お世話をしているだけで…"
Map001_EV003_Page4_4_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
Map001_EV003_Page4_5_ShowText,และนี่คือลูกของฉัน \\.ซาร่าห์กับทอมมี่,""". . . Und das sind meine Kinder, \\.Sarah und Tommy.""",". . . Y estos son mis hijos, \\.Sarah y Tommy. ","... Et voici mes enfants, \\.Sarah et Tommy.",. . . E loro sono i miei bambini: Sarah e Tommy. ,""" . . . 그리고 제 아이들, \\.사라와 토미라고 합니다."" ",""". . . A to moje dzieci, \\.Sarah i Tommy."" ",""". . . E esses são meus filhos, \\.Sarah e Tommy.""",. . . А это мои дети: \\.Сара и Томми. ,". . . A toto sú moje deti, \\.Sarah a Tommy. ",". . . Ve bunlar da çocuklarım, \\.Sarah ve Tommy. ",“……这是我的两个孩子，\\.Sarah和Tommy。”,"…А це мої діти, \\.Сара і Томмі.","…この子たちは、私の娘と息子で、
\\.\\.サラとトミーといいます。 "
Map001_EV003_Page4_5_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
Map001_EV003_Page4_6_ShowText,"มันไม่ใช่งานเก้าโมงถึงห้าโมงหรอก \\.
จอห์นนี่เลยให้เราอยู่ที่นี่","""Ich habe hier nicht gerade einen 8-Stunden-Job, \\.
deshalb erlaubt uns Johnny, hier zu wohnen.""","No es que sea precisamente un trabajo de 9 a 5, \\.
así que Johnny nos deja vivir aquí.","On ne sait jamais quand Johnny peut avoir besoin de 
moi, \\.alors il nous a permis de nous installer ici.","Il mio non è esattamente un lavoro dall'orario regolare, 
per cui Johnny ci lascia vivere qui con lui.","""출퇴근이 가능한 일은 아니니까요, \\.조니가 
저희들 보고 여기서 살아도 된다고 했어요.""","""Nie jest to robota na pół etatu, \\.
więc Johnny pozwolił nam tu mieszkać.""","""O Johnny deixa a gente morar aqui, \\.
já que não é bem um trabalho de nove às cinco.""","График работы у меня, сами понимаете, свободный, \\.
так что Джонни позволяет нам здесь жить.","""Nie je to práve práca od 9 do 5, \\.
takže Johnny nám tu dovolil bývať.""","""Bu tam olarak dokuz-beş arası bir iş değil, \\.
bu yüzden Johnny burada yaşamamıza izin veriyor.""","“这工作不是那种朝九晚五型的，\\.
  所以Johnny就让我们住在这儿了。”","Робота у мене, самі розумієте, практично \\.
цілодобова, тож Джонні дозволив нам жити тут.","ジョニーは、住み込みで働かせてくれていて…
\\.\\.時間が不規則な仕事ですから。"
Map001_EV003_Page4_6_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
Map001_EV003_Page4_7_ShowText,ฉันเดาว่า 'จอห์นนี่' คนนี้คือคนที่เราต้องการใช่ไหม?,"""Ich nehme an, dieser 'Johnny' ist unser Mann?""",¿Supongo que este 'Johnny' es nuestro paciente?,"J’imagine que ce « Johnny », \\.c’est notre homme ?","Tale ""Johnny"" sarebbe il nostro uomo, dico bene? ","""그 '조니' 씨가 우리 고객님이군요?"" ","""Ten \\.'Johnny' to nasz gość, jak mniemam?"" ","""Imagino que esse 'Johnny' seja o nosso paciente.""","Я полагаю, этот «Джонни» — как раз тот, кто нам нужен?","Tipujem, že 'Johnny' je náš klient..? ",Sanırım bu 'Johnny' bizim adamımız?,“也就是说这位‘Johnny’就是我们要见的人？”,"Я так розумію, Джонні — наш клієнт?","では、その「ジョニー」さんが、
ご契約者様ですね？"
Map001_EV003_Page4_7_ShowText_NameBox,ดร.โรซาลีน,Dr. Rosalene,Dra. Rosalene,Dr Rosalene,Dott.ssa Rosalene,로잘린 박사,Dr Rosalene,Dra. Rosalene,Д-р Розалин,Dr. Rosalene,Dr. Rosalene,Dr. Rosalene,Д-р Розалін,ドクター・ロザリーン
Map001_EV003_Page4_8_ShowText,จอห์นนี่'?,""". . . 'Johnny'?""",. . . ¿'Johnny'? ,... « Johnny » ?,". . . ""Johnny""? ",""" . . . '조니'라고?"" ",""" . . . 'Johnny'?"" ",""". . . 'Johnny'?""", . . . «Джонни»? , . . . 'Johnny'? , . . . 'Johnny'? ,“……‘Johnny’？”,…«Джонні»?,"「ジョニー」って…
子どもみたいな呼び方ですね…\\.\\.
「ジョン」さんじゃないんですか？"
Map001_EV003_Page4_8_ShowText_NameBox,ดร.วัตต์,Dr. Watts,Dr. Watts,Dr Watts,Dott. Watts,와츠 박사,Dr Watts,Dr. Watts,Д-р Уоттс,Dr. Watts,Dr. Watts,Dr. Watts,Д-р Воттс,ドクター・ワッツ
Map001_EV003_Page4_9_ShowText,"ฟังนะ \\.\\.ถ้าเรากำลังจัดการกับเด็ก,\\.
ฉันว่าเราไม่ใช่คนที่คุณต้องการหรอก","""Hören Sie, \\.\\.wenn wir es hier mit einem Kind zu tun haben,\\.
dann sind wir nicht die Richtigen für Sie.""","Escuche, \\.\\.si se trata de un niño\\. no creo que 
nosotros seamos lo que usted necesita.","Écoutez, \\.\\.si c’est à un gamin que nous avons affaire,\\. je ne 
crois pas que nous soyons les personnes qu’il vous faut.","Senta. Se stiamo parlando di un bambino,
non credo che la nostra azienda sia la più indicata. ","""잠깐만요, \\.\\.혹시 저희 고객님이 꼬만가요?\\.
그럼 저희 말고 다른 곳을 찾으셔야 되겠는데요."" ","""Posłuchaj, \\.\\.jeśli mamy do czynienia z dzieciakiem, \\.
to nie sądzę, że jesteśmy odpowiednimi osobami."" ","""Olha, \\.\\.se o paciente for uma criança,\\. acho 
melhor chamar outras pessoas.""","Послушайте, \\.\\.если наш клиент — ребёнок,\\.
то мы вряд ли сможем вам помочь.","""Pozrite, \\.\\.ak má ísť o malého chlapca,\\.
nemyslím, že sme tí, koho hľadáte. ""","""Dinleyin, \\.\\.eğer ilgileneceğimiz kişi bir çocuksa,\\.
aradığınız kişilerin biz olduğunu sanmıyorum.""","“我说，\\.\\.如果我们要应付的是个小屁孩，\\.
  那恐怕您找错人了（Johnny是John的昵称）。”","Послухайте, \\.\\.якщо наш клієнт — дитина, 
\\.то ми не зовсім ті, хто вам потрібен.","まさか…\\.\\.ご契約者さんは未成年者とか？
\\.\\.もしそうなら、弊社のサービスは…"
Map001_EV003_Page4_9_ShowText_NameBox,ดร.วัตต์,Dr. Watts,Dr. Watts,Dr Watts,Dott. Watts,와츠 박사,Dr Watts,Dr. Watts,Д-р Уоттс,Dr. Watts,Dr. Watts,Dr. Watts,Д-р Воттс,ドクター・ワッツ
Map001_EV003_Page4_10_ShowText,"ไม่,\\. ไม่. \\.\\.เขาแค่ชอบให้เรียกแบบนั้น","""Nein,\\. nein, \\.\\.er möchte nur lieber so genannt werden.""","No,\\. no. \\.\\.Simplemente prefiere que lo llamen así.","Non,\\. non. \\.\\.Il préfère être appelé ainsi.","No, no. È solo che preferisce essere chiamato così. ","""아뇨,\\. 아뇨. \\.\\.그냥 자기가 그 이름을 좋아하는 거에요."" ","""Nie,\\. nie. \\.\\.On po prostu woli, by tak go nazywać."" ","""Não,\\. não. \\.\\.Ele só prefere ser chamado assim.""","Нет,\\. нет. \\.\\.Просто он хочет, чтобы его так называли. ","Nie,\\. nie. \\.\\.On má radšej, keď ho tak voláme. ","Hayır,\\. hayır. \\.\\.Böyle hitap edilmesini tercih ediyor.",“不，\\.您误会了。\\.\\.他只是喜欢别人这么叫他。”,"Ні, \\.ні. \\.\\.Він просто любить, коли його називають саме так.","いえ、違うんです。\\.\\.
本人が、ジョニーと呼んでほしいって…"
Map001_EV003_Page4_10_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
Map001_EV003_Page4_11_ShowText,ตอนนี้เขาอยู่ข้างบนกับแพทย์ของเขา,"""Er ist oben. Sein Arzt ist gerade bei ihm.""",Está en el piso de arriba con su médico ahora mismo.,"En ce moment, \\.il est en haut
avec son médecin traitant.","È al piano di sopra, insieme al medico. ","""지금 위층에서 주치의 분이랑 같이 있어요."" ","""Jest na górze ze swoim lekarzem."" ","""Ele está lá em cima com a doutora.""",Сейчас он наверху вместе со своим лечащим врачом. ,Teraz leží na poschodí pod dohľadom lekára. ,Şu an doktoruyla birlikte üst katta.,“他现在正在楼上跟他的医生在一起。”,Він зараз нагорі зі своїм лікарем.,"今、\\.\\.２階でお医者さまが
診てくださっています。"
Map001_EV003_Page4_11_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
Map001_EV003_Page4_12_ShowText,มากับฉันนะ,"""Kommen Sie bitte mit.""",Vengan conmigo.,Suivez-moi.,Venite con me. ,"""따라오세요."" ","""Proszę za mną."" ","""Venham comigo.""",Идите за мной. ,Nasledujte ma. ,Benimle gelin.,“二位请跟我来吧。” ,Ходімо зі мною.,ご案内します。
Map001_EV003_Page4_12_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
Map001_EV003_Page4_13_ShowText,เร็วเข้า \\.หยิบกระเป๋านั่นแล้วไปกันเถอะ,"""Also dann, \\.schnapp dir den Koffer und los geht's!""","Vamos, \\.coge esa maleta y andando.","Allez, \\.dépêche-toi un peu avec cette valise.","Su, prendi il case e andiamo. ","""자, \\.그거 들고 얼른 가자."" ","""Dalej, \\.łap walizkę i lecimy."" ","""Anda, \\.pega a caixa e vamos subir.""","Ну же, \\.возьми кейс и пойдем. ","Poď, \\.chop sa kufríku a ideme. ","Hadi, \\.şu çantayı al da gidelim.",“Neil，\\.提上箱子，我们走吧。”,"Ну ж бо, \\.бери обладнання і ходімо.",行きましょう。\\.\\.機材、持って。
Map001_EV003_Page4_13_ShowText_NameBox,ดร.โรสลีน,Dr. Rosalene,Dra. Rosalene,Dr Rosalene,Dott.ssa Rosalene,로잘린 박사,Dr Rosalene,Dra. Rosalene,Д-р Розалин,Dr. Rosalene,Dr. Rosalene,Dr. Rosalene,Д-р Розалін,ドクター・ロザリーン
Map001_EV003_Page4_14_ShowText,"ถ้าหลังฉันหักสักวัน \\.
ฉันจะฟ้องเธอด้วยประกัน",""". . . Wenn mein Rücken eines Tages schlapp macht,\\.
verklage ich dich auf Schadenersatz.""",". . . Un día me romperé la espalda,\\.
y entonces te voy a llevar a juicio con el seguro.","... Le jour où je me retrouve avec
un lumbago,\\. je te colle un procès.",". . . Quando un giorno mi si spezzerà la schiena,
avrai notizie dal mio avvocato.",""". . . 내 허리가 삐끗하게 되면,\\. 꼭 
네 앞으로 보상금을 청구하도록 하지.""",""". . . Pewnego dnia szlag trafi mój kręgosłup, \\.
a wtedy pozwę cię o odszkodowanie.""",""". . . Quando minha coluna quebrar\\.
o processo vai para você.""",". . . В один прекрасный день, когда моя спина не выдержит,\\.
я пришлю тебе астрономический счёт вместе с моим адвокатом.",""". . . Až raz budem mať problémy s chrbtom,\\.
 ty mi uhradíš poistku.""",""". . . Eğer bir gün belim kırılırsa,\\.
seni tazminat talebiyle dava edeceğim.""","“……如果哪天我的腰断了，
  \\.绝对要向你索赔。”","…Одного дня моя спина зламається, \\.і я 
закидаю тебе судовими позовами.","…これで腰痛めたら、\\.\\.労災保険金で
弁護士雇って、訴えてやるからな…"
Map001_EV003_Page4_14_ShowText_NameBox,ดร.วัตส์,Dr. Watts,Dr. Watts,Dr Watts,Dott. Watts,와츠 박사,Dr Watts,Dr. Watts,Д-р Уоттс,Dr. Watts,Dr. Watts,Dr. Watts,Д-р Воттс,ドクター・ワッツ
Map001_EV011_Page1_0_ShowText,"จะไปไหน? \\.\\.
หยิบกล่องแล้วขึ้นไปชั้นบนกัน!","""Wo willst du hin? \\.\\.
Schnapp dir die Kiste, damit wir nach oben gehen können!""","¿Adónde vas? \\.\\.
¡Coge la caja para que podamos ir arriba!",Où tu vas ? \\.\\.Monte le matériel à l’étage !,"Ma dove stai andando? 
Raccogli il case e andiamo di sopra!","""어디로 가는 거야? \\.\\.
상자 챙겨서 얼른 올라가야지!""","""Dokąd się wybierasz? \\.\\.
Zabieraj pudło i zasuwaj na górę!""","""Onde você vai? \\.\\.
Pegue a caixa para podermos subir!""","Куда ты собрался? \\.\\.
Возьми коробку, мы отправляемся наверх!","""Kam sa trepeš? \\.\\.
Zober veci, nech môžeme ísť hore!""","""Nereye gidiyorsun? \\.\\.
Çantayı al da üst kata çıkalım!""","“你要去哪儿？ \\.\\.
  拿上箱子，然后我们上楼！”","Куди ти йдеш? \\.\\.
Бери коробку і ходімо нагору!","ちょっと、どこ行くつもり？\\.\\.
２階に上がるから、早く機材を運んで。"
Map001_EV011_Page1_0_ShowText_NameBox,ดร.โรสลีน,Dr. Rosalene,Dra. Rosalene,Dr Rosalene,Dott.ssa Rosalene,로잘린 박사,Dr Rosalene,Dra. Rosalene,Д-р Розалин,Dr. Rosalene,Dr. Rosalene,Dr. Rosalene,Д-р Розалін,ドクター・ロザリーン
Map001_EV011_Page2_0_ShowText,ขึ้นไปชั้นบนเหรอ?,Nach oben?,¿Ir arriba?,Monter à l’étage ?,Sali le scale?,위층으로 올라갑니까?,Idziesz na górę?,Subir as escadas?,Подняться наверх?,Ísť hore?,Üst kata çık?,要上楼吗？,Піднятися?,２階へ行く？
Map001_EV011_Page2_1_DialogueChoice_0,ใช่,Ja,Sí,Oui,Sì,예,Tak,Sim,Да,Áno,Evet,是,Так,はい
Map001_EV011_Page2_2_DialogueChoice_1,ไม่,Nein,No,Non,No,아니오,Nie,Não,Нет,Nie,Hayır,否,Ні,いいえ
Map001_EV011_Page2_3_ShowText,โอเค \\.พวกเขาไปแล้ว!,"""Ok, \\.sie sind weg!""","Ok, \\.¡se han ido!","C’est pas trop tôt, \\.y sont partis !","Okay, via libera! ","""됐다, \\.갔어!"" ","""Dobra, \\.poszli sobie!"" ","""Pronto, \\.eles subiram!""","Отлично, \\.они ушли! ","Dobre, \\.sú preč! ","Tamam, \\.gittiler!",“行了，\\.他们走了！” ,"Добре, \\.вони пішли!",いっちゃったよ！
Map001_EV011_Page2_4_ShowText,ใครไปถึงก่อนได้เล่นทำนอง!!,"""Wer zuerst da ist, darf die Melodie spielen!!""",¡¡El que llegue primero puede tocar la melodía!!,Le premier arrivé au piano fait la mélodie !,Chi arriva prima suona la canzone!!,"""먼저 도착하는 사람이 멜로디를 연주하기다!!""","""Kto pierwszy, ten gra melodię!!""","""Quem chegar primeiro toca a melodia!!""","Тот, кто добежит первым, будет играть мелодию!!","Kto bude prvý, hrá hlavnú melódiu!!","Oraya ilk varan, şarkıyı çalmaya başlar!!",“先到先弹！”,"Той, хто дістанеться туди першим, буде грати мелодію!!","じゃあ、\\.\\.さきにピアノについたほうが、
メロディひくほうね！"
Map001_EV011_Page2_5_ShowText,ไม่ยุติธรรม! \\.แกผลักฉัน,"""Das ist nicht fair! \\.Du hast mich geschubst!""",¡No vale! \\.Me has empujado.,C’est pas du jeu ! \\.Tu m’as poussée.,Non vale! Mi hai spinto! ,"""야, 반칙! \\.니가 나 밀었잖아!"" ","""Nie fair! \\.Popchnąłeś mnie."" ","""Não é justo! \\.Você me empurrou.""",Так нечестно! \\.Ты меня толкнул. ,To nie je fér! \\.Strčil si do mňa. ,Bu haksızlık! \\.Beni ittin.,“你赖皮！\\.你推我了！” ,Нечесно! \\.Ти мене штовхнув.,"ズルい！\\.\\.
いま、おしたでしょ！"
Map001_EV011_Page2_5_ShowText_NameBox,ซาร่าห์,Sarah,Sarah,Sarah,Sarah,사라,Sarah,Sarah,Сара,Sarah,Sarah,Sarah,Сара,サラ
Map001_EV011_Page2_6_ShowText,ไม่ได้ทำ!,"""Gar nicht wahr!""",¡No es cierto!,Même pas vrai !,Come no! ,"""안 그랬거든!""  ","""Wcale nie!""  ","""Empurrei não!""",Неправда!  ,Nestrčil!  ,İtmedim!,“我才没有！”,Не штовхав!,おしてませんー！
Map001_EV011_Page2_6_ShowText_NameBox,ทอมมี่,Tommy,Tommy,Tommy,Tommy,토미,Tommy,Tommy,Томми,Tommy,Tommy,Tommy,Томмі,トミー
Map001_EV011_Page2_7_ShowText,ช่างเถอะ \\.แกได้โน้ตสองตัวน่าเบื่ออยู่แล้ว,"""Egal, \\.du hast eh die beiden langweiligen Noten.""","Da igual, \\.a ti te tocan las dos notas aburridas de todas formas.","Toute façon j’m’en fiche, \\.tu fais
que répéter deux notes pourries !","E poi, ti toccano le due note della parte noiosa. ","""흥, \\.그래봐야 두 음 뿐이라 금방 질릴걸."" ","""Nieważne, \\.to i tak tylko dwie nudne nuty."" ","""Você que sabe, \\.vai ficar com as duas notas chatas.""","Неважно, \\.тебе всё равно достались две скучные ноты. ","Noačo, \\.aj tak by som nechcela tie nudné dve noty. ","Her neyse, \\.sana o sıkıcı iki nota denk geliyor.",“随便你吧，\\.反正你抢到的也只有那两个无聊的音符。” ,"Ну й добре, \\.тобі все одно дісталися лише дві нудні ноти.","いいもーん。\\.\\.どうせメロディは
おんなじ音のくりかえしで、つまんないしー。"
Map001_EV011_Page2_7_ShowText_NameBox,ซาร่าห์,Sarah,Sarah,Sarah,Sarah,사라,Sarah,Sarah,Сара,Sarah,Sarah,Sarah,Сара,サラ
Map001_EV011_Page3_0_ShowText,เฮอะ \\.ขึ้นไปตอนนี้ก็ไม่มีประโยชน์หรอก,"( Pah, \\.es macht doch keinen Sinn, jetzt nach oben zu gehen. )","( Bleh, \\.no tiene sentido subir las escaleras ahora mismo. )","(Hmm, \\.ça ne sert à rien de 
monter à l’étage maintenant.)","( Meh, che motivo ho di andare di sopra adesso? )","( 흥, \\.지금 올라가도 별 의미는 없을 것 같은데. )","( Uch, \\.nie ma sensu teraz tam wchodzić. )","( Blé, \\.não tenho motivo pra subir lá agora. )","( Хм, \\.нет смысла подниматься наверх прямо сейчас. )","( Bleh, \\.nemá význam ísť teraz hore. )","( Peh, \\.şimdi oraya çıkmanın bir anlamı yok. )",（ 唉，\\.现在上楼一点儿意义也没有。）,"( Фе, \\.немає сенсу йти туди прямо зараз. )",（今は、上に用事はないな）
Map001_EV011_Page3_0_ShowText_NameBox,ดร. วัตต์,Dr. Watts,Dr. Watts,Dr Watts,Dott. Watts,와츠 박사,Dr Watts,Dr. Watts,Д-р Уоттс,Dr. Watts,Dr. Watts,Dr. Watts,Д-р Воттс,ドクター・ワッツ
Map001_EV011_Page3_1_ShowText,เฮอะ \\.ขึ้นไปตอนนี้ก็ไม่มีประโยชน์หรอก,"( Pah, \\.es macht doch keinen Sinn, jetzt nach oben zu gehen. )","( Bleh, \\.no tiene sentido subir ahora. )","(Hmm, \\.ça ne sert à rien de
monter à l’étage maintenant.)","( Meh, che motivo ho di andare di sopra adesso? )","( 흥, \\.지금 올라가도 별 의미는 없을 것 같은데. )","( Uch, \\.nie ma sensu teraz tam wchodzić. )","( Blé, \\.não tenho motivo pra subir lá agora. )","( Хм, \\.нет смысла подниматься наверх прямо сейчас. )","( Bleh, \\.nemá význam ísť teraz hore. )","( Peh, \\.şimdi oraya çıkmanın bir anlamı yok. )",（ 唉，\\.现在上楼毫无意义。）,"( Фе, \\.немає сенсу йти туди прямо зараз. )",（今は、上に用事はないわ）
Map001_EV011_Page3_1_ShowText_NameBox,ดร. โรสลีน,Dr. Rosalene,Dra. Rosalene,Dr Rosalene,Dott.ssa Rosalene,로잘린 박사,Dr Rosalene,Dra. Rosalene,Д-р Розалин,Dr. Rosalene,Dr. Rosalene,Dr. Rosalene,Д-р Розалін,ドクター・ロザリーン
Map001_EV011_Page3_2_ShowText,ขึ้นไปข้างบนดีไหม?,Trotzdem nach oben?,¿Subir de todas formas?,Monter à l’étage quand même ?,Sali comunque?,그래도 위층으로 올라갑니까?,Wchodzisz mimo wszystko?,Subir as escadas mesmo assim?,Всё равно подняться наверх?,Ísť hore aj tak?,Yine de üst kata çık?,确定要上楼吗？,Все одно піднятися?,それでも２階へ行く？
