ID,English,German,Spanish,French,Italian,Korean,Polish,Portuguese,Russian,Slovak,Turkish,ChineseSimplified,Ukrainian,Japanese
TermsDatabase_customStrings_17,ตั้งค่าให้ข้อความแสดงขึ้นทีละตัวอักษรหรือแสดงทันที,"Lege fest, ob Nachrichten nacheinander oder direkt erscheinen sollen",Establece los mensajes para que aparezcan uno a uno o al instante.,Les messages peuvent s'afficher l'un après l'autre ou instantanément.,Decidi se mostrare il testo tutto insieme o una lettera alla volta,메시지 텍스트를 하나씩 표시할지 즉시 표시할지 설정한다.,"Ustaw, aby tekst wiadomości pojawiał się pojedynczo lub natychmiast",Definir se textos de mensagem devem aparecer um por um ou instantaneamente,Настроить отображение текста последовательно или сразу,"Nastavte text správy tak, aby sa zobrazoval jeden po druhom alebo okamžite",Mesaj metnini tek tek veya anında görünecek şekilde ayarlayın,设置消息文本逐一显示或立即显示,"Налаштуйте, чи текст повідомлень з'являтиметься поодинці або миттєво",メッセージテキストを1文字ずつ表示するか、瞬時に表示するかを設定します
TermsDatabase_customStrings_18,เล่นบทสนทนาต่อไปเรื่อยๆ โดยไม่ต้องรอให้ผู้เล่นกดข้าม,"Spiele weiter, ohne auf Eingabe des Spielers zu warten",Continúa reproduciendo los diálogos sin esperar a que el jugador haga una acción,Continue à jouer les dialogues sans attendre la validation du joueur,I dialoghi continuano senza l'intervento del giocatore,플레이어가 입력하지 않아도 대사가 계속 진행된다.,"Kontynuuj odtwarzanie dialogu, nie czekając na interwencję gracza",Prosseguir diálogo sem esperar pela entrada do jogador,Автоматическое проигрывание диалогов,Pokračujte v hraní dialógu bez čakania na vstup hráča,Oyuncunun girişini beklemeden diyaloğu oynamaya devam edin,无需等待玩家输入，继续播放对话文本,Продовжити відтворення діалогів без очікування дій гравця,プレイヤーの入力を待たずにダイアログを再生し続けます
TermsDatabase_customStrings_19,ตั้งค่าระยะเวลาที่จะรอก่อนจะเล่นบทสนทนาถัดไปเมื่อเปิด 'เล่นข้อความอัตโนมัติ' หรือเมื่อกดปุ่มค้างเพื่อข้าม,"Lege die Zeit fest, die vergehen muss, bevor der Dialog beim automatischen Spielen fortgesetzt wird, oder wenn man gedrückt hält, um fortzufahren",Establece cuánto tiempo hay que esperar antes de continuar el diálogo si se activa la autorreproducción de texto o si se mantiene para continuar,"Définis le temps à attendre avant de continuer les dialogues si le texte automatique est activé, ou s’il faut maintenir une touche enfoncée pour continuer","Con Avanti automatico attivo, regola quanto tempo deve trascorrere prima che un dialogo prosegua, o quanto tenere premuto per continuare",텍스트 자동 재생을 켰거나 길게 눌러 계속할 때 대사를 계속 진행하기 전 얼마나 기다릴지 설정한다.,"Ustaw czas oczekiwania przed kontynuowaniem dialogu, jeśli tekst autoodtwarzania jest włączony lub jeśli przytrzymasz, aby kontynuować.","Defina o intervalo de tempo antes de continuar o diálogo se o Texto Automático estiver ativo, ou se estiver segurando para continuar",Установить продолжительность задержки при автовоспроизведении диалогов или нажатии для продолжения,"Nastavte, ako dlho sa má čakať pred pokračovaním v dialógu, ak je zapnuté automatické prehrávanie textu alebo ak chcete pokračovať podržaním.",Metni Otomatik Oynat açıksa veya devam etmek için basılı tutuluyorsa diyaloğa devam etmeden önce ne kadar bekleneceğini ayarlayın.,设置如果开启“自动播放文本”，在继续对话之前要等待多长时间,"Встановіть, скільки часу чекати перед продовженням діалогу, якщо автопрогравання тексту увімкнено або якщо утримувати кнопку для продовження.",オートプレイテキストがオンの場合や、ボタンを押し続けて進める場合に、ダイアログを進める前にどのくらい待機するかを設定します
TermsDatabase_customStrings_20,ปรับระดับเสียงที่ใช้สำหรับเอฟเฟกต์เสียง (SFX),Ändere die Lautstärke der Klangeffekte,Cambia el volumen usado para los efectos de sonido.,Règle le volume des effets sonores.,Regola il volume degli effetti sonori,사운드 효과의 음량을 변경한다.,Zmień głośność efektów dźwiękowych,Muda o volume usado para efeitos sonoros,Изменить громкость спецэффектов,Zmeňte hlasitosť používanú pre zvukové efekty,Ses efektleri için kullanılan ses düzeyini değiştirme,改变声音效果的音量,"Змінити гучність, що використовується для звукових ефектів",効果音に使用される音量を変更する
TermsDatabase_customStrings_21,ปรับระดับเสียงที่ใช้สำหรับเสียงบรรยากาศ (BGS),Ändere die Lautstärke der Hintergrundgeräusche,Cambia el volumen usado para el sonido de fondo.,Règle le volume des sons en arrière-plan.,Regola il volume dei suoni di sottofondo,배경 사운드의 음량을 변경한다.,Zmień głośność dźwięku tła,Muda o volume usado para os sons de fundo,Изменить громкость фоновых шумов,Zmeňte hlasitosť zvuku na pozadí,Arka plan sesi için kullanılan ses düzeyini değiştirme,改变背景声音的音量,"Змінити гучність, що використовується для фонових звуків",バックグラウンドサウンドに使用される音量を変更する
TermsDatabase_customStrings_22,ปรับระดับเสียงที่ใช้สำหรับดนตรีประกอบ (BGM),Ändere die Lautstärke der Hintergrundmusik,Cambia el volumen usado para la música de fondo.,Règle le volume de la musique en arrière-plan.,Regola il volume della musica di sottofondo,배경 음악의 음량을 변경한다.,Zmień głośność muzyki w tle,Muda o volume usado para música de fundo,Изменить громкость фоновой музыки,Zmeňte hlasitosť používanú pre hudbu na pozadí,Arka plan müziği için kullanılan ses düzeyini değiştirme,改变背景音乐的音量,"Змінити гучність, що використовується для фонової музики",BGMに使用される音量を変更する
TermsDatabase_customStrings_23,ตั้งค่าว่าจะเปิดใช้งานการสั่นหรือไม่,"Stelle ein, ob Vibration aktiviert ist",Establece si se activa la vibración.,Active ou désactive la vibration,Imposta se la vibrazione è abilitata,진동을 사용할지 설정한다.,"Ustaw, czy wibracje są włączone",Ative ou desative a vibração.,Включить или выключить вибрацию,"Nastavte, či sú zapnuté vibrácie",Titreşimin etkin olup olmayacağını ayarlayın,设置是否启用振动功能,"Налаштуйте, чи ввімкнено вібрацію",振動を有効にするかどうかを設定します
TermsDatabase_customStrings_24,รองรับเฉพาะจอย PlayStation DualShock 4 และ DualSense เท่านั้น,(Nur für PlayStation DualShock 4 und DualSense),(Solo para mandos DUALSHOCK®4 y DualSense™ de PlayStation®),(Seulement pour PlayStation DualShock 4 et DualSense),(Solo per PlayStation DUALSHOCK™4 e DualSense™),(PlayStation DualShock 4 및 DualSense 전용),(Tylko PlayStation DualShock 4 i DualSense),(Somente PlayStation DualShock 4 e DualSense),(Только для PlayStation DualShock 4 и DualSense),(iba PlayStation DualShock 4 a DualSense),(Yalnızca PlayStation DualShock 4 ve DualSense),（仅限PlayStation DualShock 4和DualSense）,(Тільки для PlayStation DualShock 4 та DualSense),（PlayStation DualShock 4およびDualSenseのみ）
TermsDatabase_customStrings_25,รวมถึงเอฟเฟกต์แสงกระพริบ,Stelle die Intensität der Leuchtleisteneffekte am Controller ein. Beinhaltet Blitzeffekte.,Establece la intensidad de los efectos de la barra luminosa del mando. Incluye efectos parpadeantes.,Définis l'intensité des effets de la barre lumineuse sur la manette. Inclut des effets de clignotement.,Imposta l'intensità degli effetti della barra luminosa sul controller. Include effetti lampeggianti.,컨트롤러 라이트 바 효과의 강도를 설정한다. 점멸 효과 포함.,Ustaw intensywność efektów paska świetlnego na kontrolerze. Zawiera efekty migające.,Defina a intensidade dos efeitos da barra de luz no controle. Inclui efeitos piscantes.,"Настроить интенсивность световых эффектов контроллера, включая мигание.",Nastavte intenzitu efektov svetelnej lišty na ovládači. Zahŕňa blikajúce efekty.,Denetleyicideki ışık çubuğu efektlerinin yoğunluğunu ayarlayın. Yanıp sönen efektler içerir.,设置控制器上灯条效果的强度，包括闪烁效果。,Встановіть інтенсивність ефектів світлової панелі на контролері. Включає миготливі ефекти.,コントローラーのライトバーエフェクトの強度を設定します。点滅エフェクトを含みます。
TermsDatabase_customStrings_26,ตั้งค่าว่าจะเปิดใช้งานเสียงจากลำโพงของคอนโทรลเลอร์หรือไม่,"Stelle ein, ob der Controller-Lautsprecher Audio abspielen kann",Establece si el altavoz del mando puede reproducir audio.,Définis si le haut-parleur de la manette peut produire du son,Imposta se l'altoparlante del controller può riprodurre audio,컨트롤러 스피커에서 게임플레이 음향을 출력할지 설정한다.,"Określ, czy głośnik kontrolera może odtwarzać dźwięk",Defina se o alto-falante do controle pode reproduzir áudio.,Настроить передачу звука через динамик контроллера,"Nastavte, či reproduktor ovládača môže prehrávať zvuk",Denetleyici hoparlörünün ses oynatıp oynatamayacağını ayarlayın,设置控制器扬声器是否可以播放音频,"Налаштуйте, чи може динамік контролера відтворювати звук",コントローラーのスピーカーで音声を再生できるかを設定します
TermsDatabase_customStrings_27,ปรับระดับเสียงของลำโพงบนคอนโทรลเลอร์,Lege die Lautstärke der Controller-Lautsprecher wieder,Establece el volumen del audio del altavoz del mando.,Définis le volume audio du haut-parleur de la manette.,Regola il volume dell'audio dell'altoparlante del controller,컨트롤러 스피커 오디오의 음량을 조절한다.,Ustaw głośność dźwięku głośnika kontrolera,Definir o volume do áudio do alto-falante do controle,Настройка громкости динамиков контроллера,Nastavte hlasitosť zvuku reproduktora ovládača,Denetleyici hoparlör sesinin ses düzeyini ayarlayın,设置控制器扬声器音频的音量,Встановити гучність аудіо динаміка контролера,コントローラーのスピーカー音量を設定します
TermsDatabase_customStrings_28,คืนค่าตัวเลือกทั้งหมดกลับเป็นค่าเริ่มต้น,Setze alle Optionen auf Standardeinstellungen zurück,Revierte todas las opciones a los ajustes predeterminados.,Rétablis toutes les options aux paramètres par défaut.,Ripristina tutte le impostazioni predefinite,모든 옵션을 기본 설정으로 되돌린다.,Przywróć wszystkie opcje do ustawień domyślnych,Reverter todas as opções para configurações padrão,Сбросить все настройки до значений по умолчанию,Vrátiť všetky možnosti na predvolené nastavenia,Tüm seçenekleri varsayılan ayarlara döndür,将所有选项恢复到默认设置,Повернути всі опції до налаштувань за замовчуванням,すべてのオプションをデフォルト設定に戻します
TermsDatabase_customStrings_29,เริ่มเกม,Beginnen,Empezar,Commencer,Inizia,Begin,Start,Iniciar,Начать,Začať,Başla,开始,Почати,Start
TermsDatabase_customStrings_30,โหลดเกม,Laden,Cargar,Continuer,Carica,Load,Wczytaj,Carregar,Загрузить,Pokračovať,Yükle,读取,Завантажити,Load
TermsDatabase_customStrings_31,"เจ้าหน้าที่อาวุโสฝ่ายท่องความทรงจำ, ซิกมันด์ คอร์ป","Senior Memory Traversal Agent, Sigmund Corp.","Agente en viaje a traves de recuerdos, Sigmund Corp.",Agent de voyage mémoriel expérimentée chez Sigmund Corp.,"Esploratrice scelta della funzione mnemonica, Sigmund Corp.",지크문드 사의 수석 기억 여행 요원.,"Starszy agent ds. pamięci, Sigmund Corp.","Agente de travessia de memórias sênior, Corporação Sigmund.",Старший агент по переносу памяти компании «Зигмунд».,"Vyšší agent prenosu spomienok, Sigmund Corp.","Kıdemli Anı Gezici, Sigmund A.Ş.",高级记忆穿越代理，Sigmund公司。,"Старший агент зі зміни спогадів, корпорація «Зигмунд».",ジークムント社のシニア・メモリートラベル・エージェント。
TermsDatabase_customStrings_32,"ผู้เชี่ยวชาญฝ่ายเทคนิค, ซิกมันด์ คอร์ป","Technician Specialist, Sigmund Corp.","Especialista técnico, Sigmund Corp.",Technicien spécialisé chez Sigmund Corp.,"Tecnico manutentore specializzato, Sigmund Corp.",지크문드 사의 기술 전문 요원.,"Technik specjalista, Sigmund Corp.","Especialista técnico, Corporação Sigmund.",Технический специалист компании «Зигмунд».,"Technický špecialista, Sigmund Corp.","Uzman Tekniker, Sigmund A.Ş.",技术专家，Sigmund公司。,"Технічний спеціаліст, корпорація «Зигмунд».",ジークムント社のエンジニア・スペシャリスト。
TermsDatabase_customStrings_33,ไม่ชอบเต่า,Mag keine Schildkröten.,No le gustan las tortugas.,N'aime pas les tortues.,Non gli piacciono le tartarughe.,거북이를 싫어함.,Nie lubi żółwi.,Não gosta de tartarugas.,Не любит черепах.,Antipatia ku korytnačkám.,Kaplumbağaları sevmez.,不喜欢海龟。,Не любить черепах.,夢は、街頭インタビューを受けて、質問とまったく関係ないことを答えること。
TermsDatabase_customStrings_34,ผู้ใฝ่ฝันอยากเป็นนักชิมไอศกรีมมืออาชีพ และกำลังมุ่งสู่จุดสูงสุด,"Anwärterin als professionelle Eiskrem-Kosterin, auf dem Weg zur Weltspitze.","Aspira a ser saboreador de helados profesional, apunta al máximo.","A pour ambition de devenir l'une des plus grandes dégustatrices
de glaces au monde.",Aspirante assaggiatrice di gelati professionista.,"전문적인 아이스크림 시식가가 되고자 하며, 그 중에서도 최고 지망.",Profesjonalny tester lodów o wysokich aspiracjach.,Aspirante à campeã em degustação profissional de sorvetes.,"Подающий надежды дегустатор мороженного, хочет стать лучшим.","Ašpirant na degustárora zmrzliny, vrcholové zameranie.","Çok azimli bir dondurma tadıcısı, zirveyi hedefliyor.",有抱负的专业冰淇淋品尝师，为了获得第一名而努力。,"Професійний дегустатор морозива, хоче стати найкращим.",アイスクリームを愛する少女。座右の銘は、「ときに甘く、ときに冷たく」。
TermsDatabase_customStrings_35,ตัวละคร,Charaktere,Personajes,Personnages,Personaggi,캐릭터,Postacie,Personagens,Персонажи,Postavy,Karakterler,角色,Персонажі,人物
TermsDatabase_customStrings_36,บันทึก,Notizen,Notas,Notes,Note,정보,Notatki,Anotações,Заметки,Poznámky,Notlar,笔记,Замітки,メモ
TermsDatabase_customStrings_37,ไอเทม,Inventar,Objetos,Objets,Oggetti,아이템,Przedmioty,Ítens,Предметы,Predmety,Eşyalar,物品,Предмети,アイテム
TermsDatabase_customStrings_38,บันทึกเกม,Speichern,Guardar,Sauvegarder,Salva,저장,Zapisz,Salvar,Сохранить,Uložiť,Kaydet,保存,Зберегти,Save
TermsDatabase_customStrings_39,โหลดเกม,Laden,Cargar,Charger,Carica,불러오기,Wczytaj,Carregar,Загрузить,Nahrať,Yükle,读取,Завантажити,Load
TermsDatabase_customStrings_40,ออกจากเกม,Spiel verlassen,Salir del juego,Quitter le jeu,Esci dal Gioco,게임 종료,Wyjdź z gry,Sair do Jogo,Выйти из игры,Opustiť hru,Oyundan Çık,退出游戏,Вийти з гри,End Game
TermsDatabase_customStrings_41,ออก,Beenden,Salir,Quitter,Esci,Exit,Wyjdź,Sair,Выйти,Ukončiť,Çık,退出,Вийти,End
TermsDatabase_customStrings_42,ยกเลิก,Abbrechen,Cancelar,Annuler,Annulla,취소,Cofnij,Cancelar,Отмена,Späť,İptal,取消,Скасувати,キャンセル
TermsDatabase_customStrings_43,คำอธิบาย:,Beschreibung:,Descripción:,Description :,Descrizione:,설명:,Opis:,Descrição:,Описание:,Popis:,Açıklama:,描述：,Опис:,詳細:
TermsDatabase_customStrings_44,หมายเหตุ:,Notiz:,Nota:,Note reçue : ,Note:,정보:,Notatka:,Anotação:,Заметка:,Poznámka:,Not:,笔记：,Замітка:,メモ:
TermsDatabase_customStrings_45,:,:,:,:,:,:,:,:,:,:,:,：,:,:
TermsDatabase_customStrings_46,คุณต้องการบันทึกเกมลงในไฟล์ไหน?,Datei zum Abspeichern auswählen,¿Dónde desea guardar la partida?,Quelle sauvegarde voulez-vous utiliser ?,Quale file da sovrascrivere?,어느 파일에 저장하시겠습니까?,W którym miejscu chcesz zapisać stan gry?,Em que arquivo gostaria de salvar?,В какой файл желаете сохранить?,Do ktorej pozície chceš uložiť hru?,Nereye kaydetmek istiyorsunuz?,你想保存到哪个存档？,До якого файлу ви бажаєте зберегти?,どのファイルにセーブしますか？
TermsDatabase_customStrings_47,คุณต้องการโหลดเกมจากไฟล์ไหน?,Welcher Spielstand soll geladen werden?,¿Qué partida desea cargar?,Quelle sauvegarde voulez-vous charger ?,Quale file da caricare?,어느 파일을 불러오시겠습니까?,Który stan gry chcesz wczytać?,Que arquivo deseja carregar?,Какой файл желаете загрузить?,Ktorú uloženú pozíciu chceš nahrať?,Hangi kayıt yüklensin?,你想读取哪个存档？,Який файл ви бажаєте завантажити?,どのファイルをロードしますか？
TermsDatabase_customStrings_48,ไฟล์ที่ %1,File %1,File %1,Sauvegarde %1,File %1,File %1,File %1,Arquivo %1,Файл %1,Pozícia %1,File %1,存档 %1,Файл %1,ファイル %1
TermsDatabase_customStrings_49,บันทึกอัตโนมัติ,Auto-Save,Auto-Save,Sauvegarde automatique,Auto-Save,Auto-Save,Auto-Save,Salvo Automaticamente,Автосохранение,Automatické uloženie,Auto-Save,自动存档,Автозбереження,オートセーブ
TermsDatabase_customStrings_50,ผู้อำนวยการฝ่ายบริหาร,Geschäftsführender Direktor,Director ejecutivo,Directeur exécutif,Direttore esecutivo,전무이사,Dyrektor Wykonawczy,Diretor-executivo,Direttore esecutivo,výkonný riaditeľ,Yönetici müdür,执行董事,Виконавчий директор,エグゼクティブディレクター
TermsDatabase_customStrings_51,ผู้อำนวยการฝ่ายจัดจำหน่าย,Verlagsleiter,Directora editorial,Directeur de publication,Direttore editoriale,출판 이사,Dyrektor Wydawniczy,Diretor de Publicação,Direttore della pubblicazione,Riaditeľ vydavateľstva,Yayın Direktörü,出版总监,Директор з видавництва,出版ディレクター
TermsDatabase_customStrings_52,ผู้อำนวยการฝ่ายผลิต,Produktionsleiter,Director de producción,Directeur de production,Direttore di produzione,프로덕션 디렉터,Dyrektor Produkcji,Diretor de Produção,Direttore di produzione,Výrobný riaditeľ,Üretim Direktörü,生产总监,Директор з виробництва,プロダクションディレクター
TermsDatabase_customStrings_53,ผู้อำนวยการฝ่ายพัฒนา,Entwicklungsdirektor,Director de Desarrollo,Directeur du développement,Direttore dello sviluppo,개발 이사,Dyrektor Rozwoju,Diretor de Desenvolvimento,Direttore dello sviluppo,riaditeľ rozvoja,Geliştirme Direktörü,开发总监,Директор з розвитку,開発ディレクター
TermsDatabase_customStrings_54,วิศวกรเครื่องมือพัฒนา,Werkzeugingenieur,Ingeniero de Herramientas,Ingénieur Outils,Ingegnere degli strumenti,도구 엔지니어,Inżynier narzędzi,Engenheiro de Ferramentas,Ingegnere Outils,Nástrojový inžinier,Araç Mühendisi,工具工程师,Інженер з інструментів,ツールエンジニア
TermsDatabase_customStrings_55,โปรแกรมเมอร์,Programmierer,Programador,Programmeur,Programmatore,프로그램 제작자,Programista,Programador,Programmatore,Programátor,Programcı,程序员,Програміст,プログラマー
TermsDatabase_customStrings_56,โปรดิวเซอร์ฝ่ายเทคนิค,Tech-Produzent,Productor tecnológico,Producteur technologique,Produttore tecnologico,기술 프로듀서,Producent techniczny,Produtor de tecnologia,Produttore tecnologico,Technický výrobca,Teknoloji Yapımcısı,技术制作人,Технічний продюсер,テックプロデューサー
TermsDatabase_customStrings_57,ผู้จัดการฝ่ายผลิต,Produktionsleiter,Gerente de producción,Responsable de production,Direttore di produzione,생산 관리자,Kierownik Produkcji,Gerente de Produção,Responsabile della produzione,Manažér výroby,Üretim Müdürü,生产经理,Менеджер з виробництва,プロダクションマネージャー
TermsDatabase_customStrings_58,หัวหน้าศิลปินฝ่ายจัดจำหน่าย,Leitender Verlagskünstler,Artista editorial principal,Artiste principal de l'édition,Capo artista editoriale,수석 출판 아티스트,Główny artysta wydawniczy,Artista líder de publicação,Artista principale dell'edizione,Vedúci vydavateľský umelec,Baş Yayıncı Sanatçı,首席出版艺术家,Головний художник із видань,リードパブリッシングアーティスト
TermsDatabase_customStrings_59,ศิลปินฝ่ายจัดจำหน่าย,Verlagskünstler,Artista editorial,Artiste de l'édition,Artista editoriale,출판 아티스트,Artysta wydawniczy,Artista Editorial,Artista dell'edizione,Vydavateľský umelec,Yayıncı Sanatçı,出版艺术家,Художник із видань,パブリッシングアーティスト
TermsDatabase_customStrings_60,หัวหน้าโปรดิวเซอร์ฝ่ายจัดจำหน่ายสินค้าจริง,Leitender Produzent physischer Veröffentlichungen,Productor principal de publicaciones físicas,Producteur principal d’édition physique,Capo produttore editoriale fisico,수석 실제 출판 프로듀서,Główny producent publikacji fizycznych,Produtor líder de publicação física,Produttore principale dell'edizione fisica,Hlavný producent fyzického vydavateľstva,Baş Fiziksel Yayın Yapımcısı,首席实体出版制作人,Головний продюсер фізичних публікацій,リード物理パブリッシングプロデューサー
TermsDatabase_customStrings_61,ผู้อำนวยการฝ่ายผลิตภัณฑ์,Produktdirektor,Directora de Producto,Directeur produit,Direttore del prodotto,제품 디렉터,Dyrektor Produktu,Diretor de Produto,Direttore del prodotto,Produktový riaditeľ,Ürün Direktörü,产品总监,Директор продукту,プロダクトディレクター
TermsDatabase_customStrings_62,นักออกแบบผลิตภัณฑ์,Produktdesigner,Diseñador de producto,Concepteur de produits,Progettista di prodotto,제품 디자이너,Projektant Produktu,Designer de Produto,Ideatore di prodotti,Produktový dizajnér,Ürün Tasarımcısı,产品设计师,Дизайнер продукту,プロダクトデザイナー
TermsDatabase_customStrings_63,ผู้อำนวยการฝ่ายการตลาด,Marketingdirektor,Director de marketing,Directeur Marketing,Direttore Marketing,마케팅 이사,Dyrektor Marketingu,Diretor de Marketing,Direttore Marketing,Marketingový riaditeľ,Pazarlama Direktörü,营销总监,Директор з маркетингу,マーケティングディレクター
TermsDatabase_customStrings_64,ผู้จัดการฝ่ายการตลาด,Marketingmanager,Gerente de Mercadeo,Responsable marketing,Direttore Marketing,마케팅 관리자,Menedżer marketingu,Gerente de Marketing,Marketing responsabile,Marketingový manažér,Pazarlama Müdürü,营销经理,Менеджер з маркетингу,マーケティングマネージャー
TermsDatabase_customStrings_65,ผู้อำนวยการฝ่ายขาย,Verkaufsdirektor,Director de Ventas,Directeur des ventes,Direttore delle vendite,영업 이사,Dyrektor Sprzedaży,Diretor de Vendas,Direttore delle vendite,Obchodný riaditeľ,Satış Direktörü,销售总监,Директор з продажів,セールスディレクター
TermsDatabase_customStrings_66,ผู้ช่วยฝ่ายการตลาด,Marketingmitarbeiter,Asociado de marketing,Associé marketing,Associato al marketing,마케팅 어소시에이트,Współpracownik ds. marketingu,Associado de marketing,Marketing associato,Marketingový spolupracovník,Pazarlama Sorumlusu,营销助理,Помічник з маркетингу,マーケティングアソシエイト
TermsDatabase_customStrings_67,ผู้จัดการชุมชนผู้เล่น,Community-Manager,Gerente de comunidad,Gestionnaire de communauté,Responsabile della comunità,커뮤니티 매니저,Menedżer społeczności,Gerente de comunidade,Gestionario della communauté,Komunitný manažér,Topluluk Yöneticisi,社区经理,Менеджер спільноти,コミュニティマネージャー
TermsDatabase_customStrings_68,ประชาสัมพันธ์,Öffentlichkeitsarbeit,Relaciones públicas,Relations publiques,Pubbliche relazioni,섭외,Public Relations,Relações Públicas,Relazioni pubbliche,Vzťahy s verejnosťou,Halkla ilişkiler,公共关系,Зв’язки з громадськістю,広報
TermsDatabase_customStrings_69,ฝ่ายประสานงานอินฟลูเอนเซอร์,Influencer-Beziehungen,Relaciones con influencers,Relations influenceurs,Relazioni con gli influencer,영향력 있는 관계,Relacje z influencerami,Relações com influenciadores,Influenzatori delle relazioni,Vzťahy s influencermi,Influencer İlişkileri,影响者关系,Зв’язки з інфлюенсерами,インフルエンサー対応
TermsDatabase_customStrings_70,ผู้ตัดต่อวิดีโอตัวอย่าง,Trailer-Editor,Editor de tráilers,Éditeur de bande-annonce,Redattore del trailer,예고편 편집자,Edytor zwiastunów,Editor de trailers,Editore dell'annuncio pubblicitario,Editor upútavky,Fragman Editörü,预告片编辑器,Редактор трейлерів,トレーラーエディター
TermsDatabase_customStrings_71,หัวหน้าฝ่ายตรวจสอบคุณภาพ (QA Lead),Leiter der Qualitätssicherung,Líder de control de calidad,Responsable assurance qualité,Responsabile del controllo qualità,품질 보증 책임자,Kierownik ds. zapewnienia jakości,Líder de garantia de qualidade,Qualità di garanzia responsabile,Vedúci zabezpečenia kvality,Kalite Güvence Lideri,质量保证主管,Керівник відділу забезпечення якості,クオリティアシュアランスリード
